RT (min),Intensity_mz_695.3790,Intensity_mz_678.3508,Intensity_mz_700.3328
6.5967422,0,0,0
6.6054671,0,0,0
6.61419,0,0,0
6.622915,0,0,0
6.6316399,0,0,0
6.6403648,0,0,0
6.6490877,0,0,0
6.6578126,0,0,0
6.6665375,0,0,0
6.6752625,0,0,0
6.6839854,0,0,0
6.6927103,0,0,0
6.7014352,0,0,0
6.7101581,0,0,0
6.7188831,0,0,0
6.727608,0,0,0
6.736333,0,0,0
6.7450558,0,0,0
6.7537807,0,0,0
6.7625057,0,0,0
6.7712306,0,0,0
6.7799535,0,0,0
6.7886785,0,0,0
6.7974034,0,0,0
6.8061283,0,0,0
6.8148512,0,0,0
6.8235761,0,0,0
6.8323011,0,0,0
6.8410239,0,0,0
6.8497489,0,0,0
6.8584739,0,0,0
6.8671988,0,0,0
6.8759217,0,0,0
6.8846466,0,0,0
6.8933715,0,0,0
6.9020965,0,0,0
6.9108193,0,0,0
6.9195444,0,0,0
6.9282692,0,0,0
6.9369921,0,0,0
6.945717,0,0,0
6.954442,0,0,0
6.9631669,0,0,0
6.9718898,0,0,0
6.9806147,0,0,0
6.9893397,0,0,0
6.9980646,0,0,0
7.0067875,0,0,0
7.0155124,0,0,0
7.0242374,0,0,0
7.0329623,0,0,0
7.0416852,0,0,0
7.0504101,0,0,0
7.0591351,0,0,0
7.0678579,0,0,0
7.0765829,0,0,0
7.0853078,0,0,0
7.094033,0,0,0
7.1027557,0,0,0
7.1114806,0,0,0
7.1202055,0,0,0
7.1289305,0,0,0
7.1376533,0,0,0
7.1463783,0,0,0
7.1551032,0,0,0
7.1638261,0,0,0
7.172551,0,0,0
7.1812761,0,0,0
7.1900009,0,0,0
7.1987238,0,0,0
7.2074487,0,0,0
7.2161737,0,0,0
7.2248986,0,0,0
7.2336215,0,0,0
7.2423464,0,0,0
7.2510714,0,0,0
7.2597963,0,0,0
7.2685192,0,0,0
7.2772441,0,0,0
7.2859691,0,0,0
7.2946919,0,0,0
7.3034169,0,0,0
7.3121418,0,0,0
7.3208668,0,0,0
7.3295896,0,0,0
7.3383148,0,0,0
7.3470395,0,0,0
7.3557645,0,0,0
7.3644873,0,0,0
7.3732123,0,0,0
7.3819372,0,0,0
7.3906601,0,0,0
7.399385,0,0,0
7.40811,0,0,0
7.4168349,0,0,0
7.4255578,0,0,0
7.4342827,0,0,0
7.4430077,0,0,0
7.4517326,0,0,0
7.4604555,0,0,0
7.4691804,0,0,0
7.4779054,0,0,0
7.4866303,0,0,0
7.4953532,0,0,0
7.5040781,0,0,0
7.5128032,0,0,0
7.5215259,0,0,0
7.5302509,0,0,0
7.5389758,0,0,0
7.5477008,0,0,0
7.5564236,0,0,0
7.5651486,0,0,0
7.5738735,0,0,0
7.5825985,0,0,0
7.5913213,0,0,0
7.6000465,0,0,0
7.6087712,0,0,0
7.6174941,0,0,0
7.626219,0,0,0
7.634944,0,0,0
7.6436689,0,0,0
7.6523918,0,0,0
7.6611167,0,0,0
7.6698417,0,0,0
7.6785666,0,0,0
7.6872895,0,0,0
7.6960144,0,0,0
7.7047394,0,0,0
7.7134643,0,0,0
7.7221872,0,0,0
7.7309121,0,0,0
7.7396371,0,0,0
7.7483599,0,0,0
7.7570849,0,0,0
7.7658098,0,0,0
7.7745348,0,0,0
7.7832576,0,0,0
7.7919826,0,0,0
7.8007075,0,0,0
7.8094325,0,0,0
7.8181553,0,0,0
7.8268803,0,0,0
7.8356052,0,0,0
7.8443281,0,0,0
7.853053,0,0,0
7.861778,0,0,0
7.8705029,0,0,0
7.8792258,0,0,0
7.8879507,0,0,0
7.8966757,0,0,0
7.9054006,0,0,0
7.9141235,0,0,0
7.9228484,0,0,0
7.9315736,0,0,0
7.9402962,0,0,0
7.9490212,0,0,0
7.9577461,0,0,0
7.9664711,0,0,0
7.9751939,0,0,0
7.9839189,0,0,0
7.9926438,0,0,0
8.0013687,0,0,0
8.0100916,0,0,0
8.0188166,0,0,0
8.0275415,0,0,0
8.0362644,0,0,0
8.0449893,0,0,0
8.0537143,0,0,0
8.0624392,0,0,0
8.071162,0,0,0
8.079887,0,0,0
8.0886121,0,0,0
8.0973369,0,0,0
8.1060598,0,0,0
8.1147847,0,0,0
8.1235097,0,0,0
8.1322346,0,0,0
8.1409574,0,0,0
8.1496824,0,0,0
8.1584073,0,0,0
8.1671302,0,0,0
8.1758552,0,0,0
8.18458,0,0,0
8.193305,0,0,0
8.2020279,0,0,0
8.2107528,0,0,0
8.2194778,0,0,0
8.2282007,0,0,0
8.2369256,0,0,0
8.2456505,0,0,0
8.2543755,0,0,0
8.2630983,0,0,0
8.2718233,0,0,0
8.2805482,0,0,0
8.2892732,0,0,0
8.297996,0,0,0
8.3067209,0,0,0
8.315446,0,0,0
8.3241688,0,0,0
8.3328937,0,0,0
8.3416187,0,0,0
8.3503436,0,0,0
8.3590665,0,0,0
8.3677915,0,0,0
8.3765163,0,0,0
8.3852413,0,0,0
8.3939642,0,0,0
8.4026891,0,0,0
8.4114141,0,0,0
8.4201369,0,0,0
8.4288618,0,0,0
8.4375869,0,0,0
8.4463117,0,0,0
8.4550346,0,0,0
8.4637595,0,0,0
8.4724845,0,0,0
8.4812094,0,0,0
8.4899323,0,0,0
8.4986574,0,0,0
8.5073822,0,0,0
8.516105,0,0,0
8.52483,0,0,0
8.5335549,0,0,0
8.5422799,0,0,0
8.5510027,0,0,0
8.5597277,0,0,0
8.5684526,0,0,0
8.5771776,0,0,0
8.5859004,0,0,0
8.5946254,0,0,0
8.6033503,0,0,0
8.6120732,0,0,0
8.6207981,0,0,0
8.6295231,0,0,0
8.638248,0,0,0
8.6469709,0,0,0
8.6556958,0,0,0
8.6644208,0,0,0
8.6731457,0,0,0
8.6818688,0,0,0
8.6905935,0,0,0
8.6993185,0,0,0
8.7080413,0,0,0
8.7167663,0,0,0
8.7254912,0,0,0
8.7342162,0,0,0
8.742939,0,0,0
8.751664,0,0,0
8.7603889,0,0,0
8.7691139,0,0,0
8.7778367,0,0,0
8.7865617,0,0,0
8.7952866,0,0,0
8.8040095,0,0,0
8.8127344,0,0,0
8.8214594,0,0,0
8.8301843,0,0,0
8.8389072,0,0,0
8.8476321,0,0,0
8.8563572,0,0,0
8.865082,0,0,0
8.873805,0,0,0
8.8825299,0,0,0
8.8912549,0,0,0
8.8999797,0,0,0
8.9087026,0,0,0
8.9174275,0,0,0
8.9261526,0,0,0
8.9348753,0,0,0
8.9436004,0,0,0
8.9523252,0,0,0
8.9610503,0,0,0
8.969773,0,0,0
8.978498,0,0,0
8.9872229,0,0,0
8.9959479,0,0,0
9.0046707,0,0,0
9.013396,0,0,0
9.0221206,0,0,0
9.0308436,0,0,0
9.0395684,0,0,0
9.0482935,0,0,0
9.0570183,0,0,0
9.0657413,0,0,0
9.0744661,0,0,0
9.0831912,0,0,0
9.091916,0,0,0
9.1006389,0,0,0
9.1093638,0,0,0
9.1180888,0,0,0
9.1268137,0,0,0
9.1355367,0,0,0
9.1442615,0,0,0
