SampleID,Tube_Name,Box,Cage,Day,Amp,Hypothesis,Batch,Mother_Infant
MO_C10_E16_Hypo1_1,MO_C10_E16,1,10,E16,TRUE,1,1,Mother
MO_C10_B7_Hypo1_1,MO_C10_B7,3,10,B7,TRUE,1,1,Mother
MO_C10_B7_Hypo2_1,MO_C10_B7,2,10,B7,FALSE,2,1,Mother
MO_C10_B3_Hypo2_1,MO_C10_B3,2,10,B3,FALSE,2,1,Mother
MO_C10_B21_Hypo2_1,MO_C10_B21,2,10,B21,FALSE,2,1,Mother
MO_C10_B21_Hypo1_1,MO_C10_B21,3,10,B21,TRUE,1,1,Mother
MO_C10_B2_Hypo2_1,MO_C10_B2,2,10,B2,FALSE,2,1,Mother
MO_C10_B2_Hypo1_1,MO_C10_B2,3,10,B2,TRUE,1,1,Mother
MO_C10_B14_Hypo1_1,MO_C10_B14,3,10,B14,TRUE,1,1,Mother
MO_C10_B14_Hypo2_1,MO_C10_B14,2,10,B14,FALSE,2,1,Mother
MO_C10_B1_Hypo1_1,MO_C10_B1,1,10,B1,TRUE,1,1,Mother
MO_C10_B1_Hypo2_1,MO_C10_B1,2,10,B1,FALSE,2,1,Mother
MOI_C13_D7_Hypo1_2,MOI_C13_D7,7,13,B7,FALSE,1,2,Infant
MOI_C13_D21_Hypo1_2,MOI_C13_D21,7,13,B21,FALSE,1,2,Infant
MOI_C13_D14_Hypo1_2,MOI_C13_D14,7,13,B14,FALSE,1,2,Infant
MO_C13_G18_Hypo1_2,MO_C13_G18,7,13,E18,FALSE,1,2,Mother
MO_C13_G16_Hypo1_2,MO_C13_G16,7,13,E16,FALSE,1,2,Mother
MO_C13_D7_Hypo1_2,MO_C13_D7,7,13,B7,FALSE,1,2,Mother
MO_C13_D21_Hypo1_2,MO_C13_D21,7,13,B21,FALSE,1,2,Mother
MO_C13_D14_Hypo1_2,MO_C13_D14,7,13,B14,FALSE,1,2,Mother
MO_C13_D1_Hypo1_2,MO_C13_D1,7,13,B1,FALSE,1,2,Mother
MOI_C3_2_D14_Hypo2_1,NA,NA,3_2,B14,TRUE,2,1,Infant
MOI_C3_2_D21_Hypo2_1,NA,NA,3_2,B21,TRUE,2,1,Infant
MOI_C3_2_D7_Hypo2_1,NA,NA,3_2,B7,TRUE,2,1,Infant
MO_C3_2_B7_Hypo2_1,MO_C3_2_B7,2,3_2,B7,TRUE,2,1,Mother
MO_C3_2_B3_Hypo2_1,MO_C3_2_B3,2,3_2,B3,TRUE,2,1,Mother
MO_C3_2_B21_Hypo2_1,MO_C3_2_B21,2,3_2,B21,TRUE,2,1,Mother
MO_C3_2_B2_Hypo2_1,MO_C3_2_B2,2,3_2,B2,TRUE,2,1,Mother
MO_C3_2_B14_Hypo2_1,MO_C3_2_B14,2,3_2,B14,TRUE,2,1,Mother
MO_C3_2_B1_Hypo2_1,MO_C3_2_B1,2,3_2,B1,TRUE,2,1,Mother
MOI_C4_2_D21_Hypo2_1,NA,NA,4_2,B21,FALSE,2,1,Infant
MOI_C4_2_D14_Hypo2_1,NA,NA,4_2,B14,FALSE,2,1,Infant
MOI_C4_2_D7_Hypo2_1,NA,NA,4_2,B7,FALSE,2,1,Infant
MO_C4_2_B7_Hypo2_1,MO_C4_2_B7,2,4_2,B7,FALSE,2,1,Mother
MO_C4_2_B3_Hypo2_1,MO_C4_2_B3,2,4_2,B3,FALSE,2,1,Mother
MO_C4_2_B21_Hypo2_1,MO_C4_2_B21,2,4_2,B21,FALSE,2,1,Mother
MO_C4_2_B2_Hypo2_1,MO_C4_2_B2,2,4_2,B2,FALSE,2,1,Mother
MO_C4_2_B14_Hypo2_1,MO_C4_2_B14,2,4_2,B14,FALSE,2,1,Mother
MO_C4_2_B1_Hypo2_1,MO_C4_2_B1,2,4_2,B1,FALSE,2,1,Mother
MOI_C_4_2_D21_Hypo2_1,NA,NA,4_2,B21,FALSE,2,1,Infant
MOI_C7_2_D14_Hypo2_1,NA,NA,7_2,B14,FALSE,2,1,Infant
MOI_C7_2_D21_Hypo2_1,NA,NA,7_2,B21,FALSE,2,1,Infant
MOI_C7_2_D7_Hypo2_1,NA,NA,7_2,B7,FALSE,2,1,Infant
MO_C7_2_B7_Hypo2_1,MO_C7_2_B7,2,7_2,B7,FALSE,2,1,Mother
MO_C7_2_B3_Hypo2_1,MO_C7_2_B3,2,7_2,B3,FALSE,2,1,Mother
MO_C7_2_B21_Hypo2_1,MO_C7_2_B21,2,7_2,B21,FALSE,2,1,Mother
MO_C7_2_B2_Hypo2_1,MO_C7_2_B2,2,7_2,B2,FALSE,2,1,Mother
MO_C7_2_B14_Hypo2_1,MO_C7_2_B14,2,7_2,B14,FALSE,2,1,Mother
MO_C7_2_B1_Hypo2_1,MO_C7_2_B1,2,7_2,B1,FALSE,2,1,Mother
MOI_C9_2_D14_Hypo2_1,NA,NA,9_2,B14,TRUE,2,1,Infant
MOI_C9_2_D21_Hypo2_1,NA,NA,9_2,B21,TRUE,2,1,Infant
MOI_C9_2_D7_Hypo2_1,NA,NA,9_2,B7,TRUE,2,1,Infant
MO_9_2_B7_Hypo2_1,MO_9_2_B7,2,9_2,B7,TRUE,2,1,Mother
MO_9_2_B3_Hypo2_1,MO_9_2_B3,2,9_2,B3,TRUE,2,1,Mother
MO_9_2_B21_Hypo2_1,MO_9_2_B21,2,9_2,B21,TRUE,2,1,Mother
MO_9_2_B2_Hypo2_1,MO_9_2_B2,2,9_2,B2,TRUE,2,1,Mother
MO_9_2_B14_Hypo2_1,MO_9_2_B14,2,9_2,B14,TRUE,2,1,Mother
MO_9_2_B1_Hypo2_1,MO_9_2_B1,2,9_2,B1,TRUE,2,1,Mother
ExtBlank_C11_E1,NA,NA,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank
ExtBlank_E2_P4,NA,NA,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank
ExtBlank_E2_P4_1ng,NA,NA,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank
ExtBlank_E7_P2,NA,NA,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank
ExtBlank_E7_P3,NA,NA,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank
ExtBlank_F2_P4,NA,NA,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank
ExtBlank_F2_P4_1ng,NA,NA,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank
ExtBlank_F7_P1,NA,NA,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank
ExtBlank_F7_P3,NA,NA,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank
ExtBlank_G2_P4,NA,NA,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank
ExtBlank_G2_P4_1ng,NA,NA,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank
ExtBlank_G7_P1,NA,NA,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank
ExtBlank_G7_P3,NA,NA,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank
ExtBlank_H7_P1,NA,NA,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank
ExtBlank_H7_P2,NA,NA,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank
ExtBlank_H7_P3,NA,NA,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank,ExtBlank
PCRBlank1,NA,NA,PCRBlank,PCRBlank,PCRBlank,PCRBlank,PCRBlank,PCRBlank
PCRBlank10,NA,NA,PCRBlank,PCRBlank,PCRBlank,PCRBlank,PCRBlank,PCRBlank
PCRBlank2,NA,NA,PCRBlank,PCRBlank,PCRBlank,PCRBlank,PCRBlank,PCRBlank
PCRBlank3,NA,NA,PCRBlank,PCRBlank,PCRBlank,PCRBlank,PCRBlank,PCRBlank
PCRBlank4,NA,NA,PCRBlank,PCRBlank,PCRBlank,PCRBlank,PCRBlank,PCRBlank
PCRBlank5,NA,NA,PCRBlank,PCRBlank,PCRBlank,PCRBlank,PCRBlank,PCRBlank
PCRBlank6,NA,NA,PCRBlank,PCRBlank,PCRBlank,PCRBlank,PCRBlank,PCRBlank
PCRBlank7,NA,NA,PCRBlank,PCRBlank,PCRBlank,PCRBlank,PCRBlank,PCRBlank
PCRBlank8,NA,NA,PCRBlank,PCRBlank,PCRBlank,PCRBlank,PCRBlank,PCRBlank
PCRBlank9,NA,NA,PCRBlank,PCRBlank,PCRBlank,PCRBlank,PCRBlank,PCRBlank
ZymoMockA_A2_P4,NA,NA,ZymoMockA,ZymoMockA,ZymoMockA,ZymoMockA,ZymoMockA,ZymoMockA
